Origin,ZIP,Distribution,Parameters,Chi-square,P-value,Minimum,Maximum
ONode0,91214,expon,"(1.0, 2.764516129032258)",106.6005958665236,0.0,1.0,14.0
ONode1,91214,expon,"(1.0, 2.7056737588652484)",101.049194134631,0.0,1.0,16.0
ONode2,91214,expon,"(1.0, 2.6610169491525424)",102.49720936189425,0.0,1.0,13.0
ONode3,91214,expon,"(1.0, 3.003215434083601)",94.58086136152228,0.0,1.0,15.0
ONode0,90710,norm,"(106.43561643835616, 18.447239611322285)",2.888812091026462,0.22406,52.0,186.0
ONode1,90710,norm,"(98.11780821917809, 17.492850535393913)",1.4093610491857893,0.37016,53.0,150.0
ONode2,90710,norm,"(100.91780821917808, 18.881137521352002)",2.1882512743130555,0.40813,55.0,157.0
ONode3,90710,norm,"(111.77260273972603, 22.106970699300224)",1.4907775517205533,0.67942,49.0,182.0
ONode0,90717,norm,"(7.584958217270195, 4.2318459639828765)",19.370094010778125,0.00209,1.0,23.0
ONode1,90717,norm,"(6.879888268156424, 4.099269316117628)",33.392613076930566,0.00012,1.0,21.0
ONode2,90717,norm,"(6.644257703081233, 3.9092724391652642)",43.43455698156412,1e-05,1.0,22.0
ONode3,90717,norm,"(7.880222841225627, 4.3527756911827264)",17.13480000608001,0.00166,1.0,25.0
ONode0,90210,norm,"(94.13972602739726, 19.294251679454803)",1.2905455493341167,0.5664,47.0,168.0
ONode1,90210,norm,"(82.84383561643835, 16.087951641765105)",2.742883688670642,0.18064,40.0,138.0
ONode2,90210,norm,"(86.69315068493151, 17.474336005705847)",1.0481971861795447,0.8924,41.0,132.0
ONode3,90210,norm,"(98.13972602739726, 19.06670870252275)",1.0834963233331703,0.61316,46.0,151.0
ONode0,90731,norm,"(398.8986301369863, 49.40920133138834)",1.266268457580187,0.83628,273.0,524.0
ONode1,90731,norm,"(351.3315068493151, 45.03924887057172)",2.0232596948419492,0.89049,236.0,503.0
ONode2,90731,norm,"(370.67397260273975, 49.458276389260774)",2.1389512938105524,0.66687,245.0,525.0
ONode3,90731,norm,"(412.6027397260274, 51.6027873639281)",0.7632806183075688,0.73434,266.0,554.0
ONode0,90732,norm,"(135.6821917808219, 21.93559278461686)",1.5848851330450393,0.6878,72.0,208.0
ONode1,90732,norm,"(123.8054794520548, 22.467827167904733)",1.697653790077978,0.7026,70.0,188.0
ONode2,90732,norm,"(128.5013698630137, 21.75512846576254)",2.240433384314293,0.29394,76.0,211.0
ONode3,90732,norm,"(142.35342465753425, 23.924161468489356)",2.126270002329973,0.19318,84.0,232.0
ONode0,90230,norm,"(71.28219178082192, 15.498823132217751)",3.773449085127628,0.08355,30.0,127.0
ONode1,90230,norm,"(63.92876712328767, 14.639798256825909)",1.659846240554616,0.55047,29.0,124.0
