Assigned Destination Node,ZIP
DNode0,91214
DNode6,90710
DNode6,90717
DNode4,90210
DNode6,90731
DNode6,90732
DNode4,90230
DNode6,90744
DNode4,90232
DNode6,90247
DNode6,90248
DNode3,90272
DNode2,91303
DNode2,91304
DNode2,91306
DNode2,91307
DNode2,91311
DNode4,90291
DNode4,90292
DNode4,90293
DNode3,91316
DNode2,91324
DNode2,91325
DNode2,91326
DNode0,91331
DNode2,91335
DNode0,91340
DNode0,91342
DNode2,91343
DNode2,91344
DNode0,91345
DNode0,91352
DNode3,91356
DNode2,91364
DNode2,91367
DNode3,91401
DNode0,91402
DNode3,91403
DNode0,91405
DNode3,91406
DNode3,91411
DNode3,91423
DNode4,90402
DNode5,90017
DNode3,91436
DNode0,91504
DNode0,91505
DNode6,90501
DNode6,90502
DNode1,90001
DNode6,90002
DNode6,90003
DNode5,90004
DNode5,90005
DNode5,90006
DNode1,90007
DNode1,90008
DNode5,90010
DNode1,90011
DNode1,90012
DNode1,90013
DNode1,90014
DNode1,90015
DNode0,91040
DNode4,90016
DNode1,90018
DNode4,90019
DNode0,91042
DNode1,90021
DNode5,90020
DNode1,90023
DNode4,90024
DNode4,90025
DNode1,90026
DNode5,90027
DNode5,90028
DNode5,90029
DNode5,90031
DNode5,90032
DNode1,90033
DNode4,90034
DNode4,90035
DNode5,90036
DNode1,90037
DNode5,90038
DNode5,90039
DNode5,90041
DNode5,90042
DNode6,90043
DNode6,90044
DNode4,90045
DNode3,90046
DNode6,90047
DNode5,90048
DNode3,90049
DNode4,90056
DNode5,90057
DNode1,90058
DNode6,90059
DNode1,90061
DNode4,90062
DNode1,90063
DNode4,90064
DNode0,91601
DNode4,90066
DNode3,90065
DNode3,91604
DNode0,91605
DNode0,91606
DNode3,90068
DNode0,91607
DNode0,91602
DNode4,90067
DNode5,90069
DNode5,90071
DNode4,90077
DNode1,90089
DNode4,90094
